amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,is-business-order,purchase-order-number,price-designation,fulfilled-by,is-iba 
406-6916441-4745140,,2024-04-21T16:21:14+00:00,2024-04-23T12:34:24+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Olive Green),CP006,B0D1TF1ZCC,Shipped,1,INR,299,45.61,,,,,,,NEW DELHI,DELHI,110046,IN,,FALSE,,,Easy Ship,FALSE
403-0999653-2755568,,2024-04-21T15:32:35+00:00,2024-04-26T14:21:26+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,"CarryPro HOBO25 V3.0 (Olive Green), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cover Included), 730 Days Warranty (25-30 Ltrs)",H2504,B0BJXNT8V6,Shipped,1,INR,3999,610.02,,,,,,,SOLAPUR,MAHARASHTRA,413409,IN,,FALSE,,,Easy Ship,FALSE
402-0701373-0599509,,2024-04-21T15:04:26+00:00,2024-05-03T06:30:26+00:00,Shipped - Returned to Seller,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Yellow),CP005,B0D1TJGJCF,Shipped,1,INR,299,45.61,,,,,,,Nimta,WEST BENGAL,700049,IN,,FALSE,,,Easy Ship,FALSE
406-3558185-0829903,406-3558185-0829903,2024-04-21T14:49:42+00:00,2024-04-21T21:00:23+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0, Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cover Includ",H25005_FBA,B0CLJ667DZ,Shipped,1,INR,3719,,,,30,,,,BENGALURU,KARNATAKA,560062,IN,,FALSE,,,,FALSE
406-9535100-0913104,406-9535100-0913104,2024-04-21T14:46:15+00:00,2024-04-21T14:47:33+00:00,Cancelled,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0, Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cover Includ",H25005_FBA,B0CLJ667DZ,Cancelled,0,,,,,,,,,,BENGALURU,KARNATAKA,560062,IN,,FALSE,,,,FALSE
402-8782964-5253912,402-8782964-5253912,2024-04-21T14:35:13+00:00,2024-04-21T19:04:02+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Space Grey), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain",H2503_FBA,B0BKPQ9VWL,Shipped,1,INR,3719,,,,,,,,GURUGRAM,HARYANA,122505,IN,,FALSE,,,,FALSE
402-8782964-5253912,402-8782964-5253912,2024-04-21T14:35:13+00:00,2024-04-21T19:04:02+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0, Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain Cover Includ",H25005_FBA,B0CLJ667DZ,Shipped,1,INR,3719,,,,,,,,GURUGRAM,HARYANA,122505,IN,,FALSE,,,,FALSE
407-1833230-1535512,407-1833230-1535512,2024-04-21T12:57:20+00:00,2024-04-21T16:28:32+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Space Grey), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain",H2503_FBA,B0BKPQ9VWL,Shipped,1,INR,3719,,,,,,,,GURUGRAM,HARYANA,122002,IN,,FALSE,,,,FALSE
403-7127726-0989932,403-7127726-0989932,2024-04-21T12:25:13+00:00,2024-04-21T13:47:43+00:00,Shipped,Amazon,Amazon.in,,,Expedited,"CarryPro HOBO25 V3.0 (Space Grey), Everyday Workation Laptop Backpack(16 inch), Removable CAMERA BOX, Roll-Top Zipper, Backpack for Men and Women(Rain",H2503_FBA,B0BKPQ9VWL,Shipped,1,INR,3719,,,,,,,,BENGALURU,KARNATAKA,560037,IN,,FALSE,,,,FALSE
403-3880739-8037143,,2024-04-21T09:06:39+00:00,2024-04-27T06:49:05+00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,WebsiteOrderChannel,,Standard,PRO Coin Pouch with Zipper for Multipurpose Usage for Adults and Kids (Black),CP002,B0D1TJS1CS,Shipped,1,INR,299,45.61,,,,,,,THIRUVANANTHAPURAM,KERALA,695011,IN,,FALSE,,,Easy Ship,FALSE
